,T_K,P_MPa,mu_PR_kJmol,mu_VDW_kJmol
59,298.15,0.3,-38.31246289852537,-38.286376921731474
60,298.15,0.305,-38.27287416328432,-38.246359072226134
61,298.15,0.31,-38.233978120267224,-38.20700782434908
62,298.15,0.315,-38.195702145139805,-38.16830185691508
63,298.15,0.32,-38.158051569073784,-38.13022085615003
64,298.15,0.325,-38.12103272587135,-38.0927454532093
65,298.15,0.33,-38.08457574407288,-38.05585716646651
66,298.15,0.335,-38.04868866416244,-38.01953834814195
67,298.15,0.34,-38.013380368949235,-37.983772134884795
68,298.15,0.345,-37.97858325689037,-37.948542401963046
69,298.15,0.35,-37.944307631086744,-37.91383372074931
70,298.15,0.355,-37.9105645093378,-37.87963131922224
71,298.15,0.36,-37.87728817540859,-37.845921045230334
72,298.15,0.365,-37.84449083815508,-37.81268933228949
73,298.15,0.37,-37.81218531851496,-37.779923167707544
74,298.15,0.375,-37.78030747619957,-37.74761006284826
75,298.15,0.38,-37.748871137961906,-37.71573802536476
76,298.15,0.385,-37.71786478214651,-37.68429553324795
77,298.15,0.39,-37.68730322498877,-37.65327151054941
78,298.15,0.395,-37.65712404517549,-37.62265530465064
79,298.15,0.4,-37.627342869705096,-37.592436664962136
80,298.15,0.405,-37.59794983039264,-37.56260572294553
81,298.15,0.41,-37.568935422352205,-37.53315297336148
82,298.15,0.415,-37.54031645171051,-37.50406925665419
83,298.15,0.42,-37.51203217242497,-37.47534574239077
84,298.15,0.425,-37.48410001860858,-37.44697391368058
85,298.15,0.43,-37.456511772596706,-37.41894555250584
86,298.15,0.435,-37.42925950177612,-37.3912527259002
87,298.15,0.44,-37.402335545553356,-37.36388777291718
88,298.15,0.445,-37.375758557085305,-37.336843292334876
89,298.15,0.45,-37.34946929036354,-37.310112131047646
90,298.15,0.455,-37.3234868690311,-37.28368737309915
91,298.15,0.46,-37.29780460426602,-37.257562329314695
92,298.15,0.465,-37.27241602422072,-37.23173052749408
93,298.15,0.47,-37.24731486473929,-37.20618570312886
94,298.15,0.475,-37.22249506056596,-37.18092179061085
95,298.15,0.48,-37.197950737013905,-37.15593291490089
96,298.15,0.485,-37.17367620206568,-37.13121338362934
97,298.15,0.49,-37.149665938878854,-37.10675767960166
98,298.15,0.495,-37.125914598672075,-37.08256045368452
99,298.15,0.5,-37.10241699396857,-37.058616518049284
100,298.15,0.505,-37.07916809217592,-37.034920839751784
101,298.15,0.51,-37.056163009481985,-37.0114685346283
102,298.15,0.515,-37.03339700504876,-36.988254861489324
103,298.15,0.52,-37.010865475486575,-36.96527521659387
104,298.15,0.525,-36.988563949592844,-36.94252512838809
105,298.15,0.53,-36.96648808334,-36.920000252493445
106,298.15,0.535,-36.944633655098976,-36.89769636692993
107,298.15,0.54,-36.922996561084695,-36.87560936756168
108,298.15,0.545,-36.901572811011405,-36.85373526375243
109,298.15,0.55,-36.88035852394667,-36.83207017421923
110,298.15,0.555,-36.85934992435265,-36.81061032307403
111,298.15,0.56,-36.83854333830515,-36.78935203604253
112,298.15,0.565,-36.81793518988063,-36.76829173685125
113,298.15,0.57,-36.79752199770231,-36.74742594377369
114,298.15,0.575,-36.77730037163726,-36.726751266327376
115,298.15,0.58,-36.7572405501307,-36.706264402113824
116,298.15,0.585,-36.737392219944006,-36.68596213379418
117,298.15,0.59,-36.717725801988315,-36.66584132619361
118,298.15,0.595,-36.69823824082798,-36.645898923527724
119,298.15,0.6,-36.67892655776025,-36.62613194674524
120,298.15,0.605,-36.65978784826801,-36.60653749098075
121,298.15,0.61,-36.64079272852977,-36.58711272311244
122,298.15,0.615,-36.621991521902025,-36.56785487941942
123,298.15,0.62,-36.603354996465136,-36.54876126333391
124,298.15,0.625,-36.58488052099436,-36.52982924328377
125,298.15,0.63,-36.56656552718873,-36.5110562506209
126,298.15,0.635,-36.548380879910894,-36.49243977763156
127,298.15,0.64,-36.530377370902535,-36.473977375624784
128,298.15,0.645,-36.512525996671094,-36.45566665309501
129,298.15,0.65,-36.49482442147631,-36.437505273955864
130,298.15,0.655,-36.477243673886946,-36.41949095584148
131,298.15,0.66,-36.45983488726484,-36.40162146847239
132,298.15,0.665,-36.44256920828737,-36.38389463208325
133,298.15,0.67,-36.42544450653469,-36.366308315909194
134,298.15,0.675,-36.408431947792096,-36.34886043672874
135,298.15,0.68,-36.391582982399385,-36.331548957460264
136,298.15,0.685,-36.3748688826496,-36.314371885809955
137,298.15,0.69,-36.358260902178216,-36.29732727296894
138,298.15,0.695,-36.34181071489466,-36.28041321235747
139,298.15,0.7,-36.3254896733161,-36.26362783841406
140,298.15,0.705,-36.309269107451016,-36.24696932542773
141,298.15,0.71,-36.29320090419388,-36.230435886411605
142,298.15,0.715,-36.27725648560321,-36.2140257720159
143,298.15,0.72,-36.2614072477486,-36.19773726947889
144,298.15,0.725,-36.24570528104318,-36.1815687016141
145,298.15,0.73,-36.230095144710575,-36.165518425832396
146,298.15,0.735,-36.21462905987998,-36.149584833197316
147,298.15,0.74,-36.199278543714215,-36.133766347512605
148,298.15,0.745,-36.18401508229237,-36.11806142444027
149,298.15,0.75,-36.16889108661295,-36.10246855064833
150,298.15,0.755,-36.15385111842122,-36.08698624298673
151,298.15,0.76,-36.138947711113644,-36.071613047690505
152,298.15,0.765,-36.124152454393986,-36.056347539609135
153,298.15,0.77,-36.10943690252456,-36.04118832146087
154,298.15,0.775,-36.09485376734864,-36.026134023111354
155,298.15,0.78,-36.080347592240614,-36.01118330087523
156,298.15,0.785,-36.065971204464866,-35.99633483684032
157,298.15,0.79,-36.05166913501274,-35.98158733821303
158,298.15,0.795,-36.03749432409884,-35.96693953668452
159,298.15,0.8,-36.023391287647094,-35.95239018781676
160,298.15,0.805,-36.009413076514,-35.93793807044762
161,298.15,0.81,-35.995504189027294,-35.923581986114485
162,298.15,0.815,-35.981717784527824,-35.909320758495504
163,298.15,0.82,-35.96799834136247,-35.89515323286804
164,298.15,0.825,-35.9543991253388,-35.88107827558348
165,298.15,0.83,-35.940864592571856,-35.86709477355792
166,298.15,0.835,-35.92742085795355,-35.8532016337783
167,298.15,0.84,-35.914094119724325,-35.83939778282301
168,298.15,0.845,-35.900828797000095,-35.825682166396966
169,298.15,0.85,-35.88767841345784,-35.812053748880274
170,298.15,0.855,-35.87458736087925,-35.798511512890165
171,298.15,0.86,-35.86160926331019,-35.785054458855754
172,298.15,0.865,-35.848688483344915,-35.771681604604936
173,298.15,0.87,-35.83585137585847,-35.75839198496348
174,298.15,0.875,-35.823124376618516,-35.74518465136537
175,298.15,0.88,-35.81045180147475,-35.73205867147436
176,298.15,0.885,-35.79786010226118,-35.71901312881619
177,298.15,0.89,-35.78537581082829,-35.70604712242121
178,298.15,0.895,-35.77294319262735,-35.69315976647705
179,298.15,0.9,-35.7605887934034,-35.68035018999085
180,298.15,0.905,-35.74833923813334,-35.66761753646093
181,298.15,0.91,-35.736138738484925,-35.65496096355752
182,298.15,0.915,-35.72401393132888,-35.64237964281216
183,298.15,0.92,-35.71199153206588,-35.62987275931566
184,298.15,0.925,-35.7000156954378,-35.61743951142416
185,298.15,0.93,-35.688113146893194,-35.60507911047315
186,298.15,0.935,-35.67631068978355,-35.59279078049921
187,298.15,0.94,-35.66455241900203,-35.580573757969006
188,298.15,0.945,-35.65286514624217,-35.56842729151573
189,298.15,0.95,-35.64127576054158,-35.55635064168225
190,298.15,0.955,-35.629728294220634,-35.544343080671126
191,298.15,0.96,-35.618249643080226,-35.53240389210113
192,298.15,0.965,-35.60683910217501,-35.520532370770155
193,298.15,0.97,-35.59552367148891,-35.50872782242409
194,298.15,0.975,-35.58424729618988,-35.496989563531784
195,298.15,0.98,-35.57303698109801,-35.4853169210657
196,298.15,0.985,-35.56189206372902,-35.47370923228824
197,298.15,0.99,-35.55083965172164,-35.46216584454328
198,298.15,0.995,-35.539823598951656,-35.450686115053195
199,298.15,1.0,-35.52887101614798,-35.439269410720804
200,298.15,1.005,-35.51798127995061,-35.427915107936336
201,298.15,1.01,-35.50715377629776,-35.41662259238914
202,298.15,1.015,-35.496415743226166,-35.40539125888409
203,298.15,1.02,-35.48571091534132,-35.394220511162466
204,298.15,1.025,-35.4750665318107,-35.38310976172722
205,298.15,1.03,-35.46448201397353,-35.37205843167254
206,298.15,1.035,-35.45395679159291,-35.361065950517435
207,298.15,1.04,-35.44349030269343,-35.35013175604347
208,298.15,1.045,-35.433109936510355,-35.33925529413627
209,298.15,1.05,-35.422759277609394,-35.32843601863086
210,298.15,1.055,-35.4124657142868,-35.317673391160724
211,298.15,1.06,-35.40222871606608,-35.30696688101035
212,298.15,1.065,-35.3920477599767,-35.29631596497124
213,298.15,1.07,-35.3819223304136,-35.285720127201444
214,298.15,1.075,-35.37185191899976,-35.27517885908814
215,298.15,1.08,-35.36183602445218,-35.26469165911362
216,298.15,1.085,-35.35190223007599,-35.25425803272419
217,298.15,1.09,-35.341993910001754,-35.243877492202245
218,298.15,1.095,-35.33213864423362,-35.2335495565411
219,298.15,1.1,-35.32233595858399,-35.22327375132287
220,298.15,1.105,-35.312585385333406,-35.21304960859894
221,298.15,1.11,-35.302886463113786,-35.202876666773285
222,298.15,1.115,-35.293238736794315,-35.19275447048822
223,298.15,1.12,-35.28364175736978,-35.182682570512945
224,298.15,1.125,-35.27409508185155,-35.1726605236344
225,298.15,1.13,-35.26459827316086,-35.16268789255059
226,298.15,1.135,-35.25515090002446,-35.15276424576626
227,298.15,1.14,-35.245752536872594,-35.14288915749092
228,298.15,1.145,-35.2364027637392,-35.133062207538984
229,298.15,1.15,-35.227101166164275,-35.12328298123222
230,298.15,1.155,-35.21784733509838,-35.1135510693042
231,298.15,1.16,-35.20864086680915,-35.10386606780691
232,298.15,1.165,-35.199481362789896,-35.09422757801928
233,298.15,1.17,-35.19036842967016,-35.08463520635776
234,298.15,1.175,-35.18130167912799,-35.07508856428874
235,298.15,1.18,-35.17228072780443,-35.065587268242844
236,298.15,1.185,-35.163305197219444,-35.05613093953103
237,298.15,1.19,-35.15437471368993,-35.046719204262565
238,298.15,1.195,-35.14548890824918,-35.03735169326447
239,298.15,1.2,-35.13664741656823,-35.02802804200295
240,298.15,1.205,-35.12784987887871,-35.01874789050619
241,298.15,1.21,-35.119095939897406,-35.009510883289
242,298.15,1.215,-35.110385248752266,-35.00031666927874
243,298.15,1.22,-35.10171745890996,-34.99116490174305
244,298.15,1.225,-35.09309222810502,-34.98205523821882
245,298.15,1.23,-35.084509218270256,-34.97298734044274
246,298.15,1.235,-35.07596809546868,-34.96396087428325
247,298.15,1.24,-35.06746852982687,-34.95497550967383
248,298.15,1.245,-35.059010195469476,-34.94603092054762
249,298.15,1.25,-35.05059277045527,-34.9371267847734
250,298.15,1.255,-35.04221593671431,-34.92826278409282
251,298.15,1.26,-35.033879379986416,-34.91943860405889
252,298.15,1.265,-35.02558278976082,-34.91065393397566
253,298.15,1.27,-35.017325859217145,-34.901908466839124
254,298.15,1.275,-35.009108285167315,-34.89320189927931
255,298.15,1.28,-35.00092976799881,-34.884533931503405
256,298.15,1.285,-34.992761243169035,-34.87590426724006
257,298.15,1.29,-34.98465993724376,-34.86731261368483
258,298.15,1.295,-34.97659681024177,-34.85875868144653
259,298.15,1.3,-34.968571576306125,-34.850242184494775
260,298.15,1.305,-34.960583952887355,-34.841762840108416
261,298.15,1.31,-34.95263366069293,-34.833320368824964
262,298.15,1.315,-34.94472042363769,-34.82491449439112
263,298.15,1.32,-34.93684396879519,-34.81654494371409
264,298.15,1.325,-34.9290040263499,-34.8082114468138
265,298.15,1.33,-34.921171401291744,-34.79991373677621
266,298.15,1.335,-34.91340366850126,-34.79165154970731
267,298.15,1.34,-34.905671656841214,-34.783424624688024
268,298.15,1.345,-34.89797510848031,-34.775232703730026
269,298.15,1.35,-34.89031376847267,-34.76707553173233
270,298.15,1.355,-34.88268738471518,-34.75895285643862
271,298.15,1.36,-34.87509570790564,-34.75086442839546
272,298.15,1.365,-34.867509437790055,-34.74281000091127
273,298.15,1.37,-34.859986419909525,-34.73478933001596
274,298.15,1.375,-34.85249737744646,-34.72680217442136
275,298.15,1.38,-34.84504207189901,-34.71884829548246
276,298.15,1.385,-34.8376202673682,-34.71092745715915
277,298.15,1.39,-34.83023173052048,-34.70303942597883
278,298.15,1.395,-34.82284706848786,-34.695183970999565
279,298.15,1.4,-34.81552435888946,-34.68736086377401
280,298.15,1.405,-34.8082342319784,-34.679569878313906
281,298.15,1.41,-34.800976464321145,-34.67181079105521
282,298.15,1.415,-34.79375083487196,-34.6640833808239
283,298.15,1.42,-34.7865571249393,-34.65638742880228
284,298.15,1.425,-34.77936584692715,-34.648722718496025
285,298.15,1.43,-34.772235310873796,-34.64108903570165
286,298.15,1.435,-34.76513605203654,-34.633486168474626
287,298.15,1.44,-34.758067860815494,-34.62591390709812
288,298.15,1.445,-34.75103052980535,-34.61837204405207
289,298.15,1.45,-34.743994491002404,-34.610860373983066
290,298.15,1.455,-34.73701824837946,-34.60337869367448
291,298.15,1.46,-34.73007225659511,-34.595926802017324
292,298.15,1.465,-34.7231563167244,-34.58850449998152
293,298.15,1.47,-34.716270231890576,-34.581111590587604
294,298.15,1.475,-34.70938435236335,-34.57374787887902
295,298.15,1.48,-34.70255737646569,-34.56641317189483
296,298.15,1.485,-34.695759676965004,-34.55910727864284
297,298.15,1.49,-34.68899106490418,-34.55183001007331
298,298.15,1.495,-34.68225135323997,-34.544581179052905
299,298.15,1.5,-34.67551080925252,-34.53736060033935
