,T_K,P_MPa,mu_PR_kJmol,mu_VDW_kJmol
0,298.15,0.005,-48.380169412894105,-48.37974135437146
1,298.15,0.01,-46.66334741884328,-46.66249086483953
2,298.15,0.015,-45.659637992208786,-45.658352505373145
3,298.15,0.02,-44.947892156338824,-44.94617729892788
4,298.15,0.025,-44.39612639250355,-44.393981726381064
5,298.15,0.03,-43.94555172236928,-43.94297680900597
6,298.15,0.035,-43.56480831494027,-43.56180271541358
7,298.15,0.04,-43.235177146107986,-43.23174042110182
8,298.15,0.045,-42.94458406180726,-42.94071577161182
9,298.15,0.05,-42.684784914670914,-42.68048461918244
10,298.15,0.055,-42.44989949016935,-42.44516674888992
11,298.15,0.06,-42.235586055590986,-42.23042042762826
12,298.15,0.065,-42.038547451454626,-42.03294849552165
13,298.15,0.07,-41.85622074375997,-41.850188018175004
14,298.15,0.075,-41.68657420682177,-41.680107269507985
15,298.15,0.08,-41.52796996097781,-41.52106836946315
16,298.15,0.085,-41.37906832674295,-41.37173163815988
17,298.15,0.09,-41.23875955910889,-41.23098733019418
18,298.15,0.095,-41.10611406357152,-41.09790585066607
19,298.15,0.1,-40.98032033296965,-40.9717007557854
20,298.15,0.105,-40.86075722579896,-40.85170079006338
21,298.15,0.11,-40.74682217362904,-40.737328434509664
22,298.15,0.115,-40.63801471496624,-40.628083227233915
23,298.15,0.12,-40.53389831844722,-40.523528636475945
24,298.15,0.125,-40.434089937343344,-40.42328161511004
25,298.15,0.13,-40.338226466535666,-40.327004205041874
26,298.15,0.135,-40.24605850788805,-40.234396726933404
27,298.15,0.14,-40.15729395667976,-40.14519220906444
28,298.15,0.145,-40.071693956123156,-40.05915179424956
29,298.15,0.15,-39.98901874644442,-39.97606092573422
30,298.15,0.155,-39.90912527597748,-39.895726158721494
31,298.15,0.16,-39.83181334086175,-39.817972478283586
32,298.15,0.165,-39.75692408718997,-39.74264103011466
33,298.15,0.17,-39.68428763162445,-39.669587190140916
34,298.15,0.175,-39.61382243538631,-39.59867891402438
35,298.15,0.18,-39.54538237082652,-39.529795319230445
36,298.15,0.185,-39.478831192049356,-39.46282546141117
37,298.15,0.19,-39.4141174225691,-39.39766727399985
38,298.15,0.195,-39.3511216636086,-39.33422664557034
39,298.15,0.2,-39.289731609098006,-39.272416614026305
40,298.15,0.205,-39.22991741486161,-39.21215666030584
41,298.15,0.21,-39.17157905396947,-39.153372087208055
42,298.15,0.215,-39.11462171646738,-39.09599347132063
43,298.15,0.22,-39.059031527649786,-39.039956177961734
44,298.15,0.225,-39.00469742345943,-38.98519993063751
45,298.15,0.23,-38.95161391906068,-38.93166842782411
46,298.15,0.235,-38.899677501559545,-38.87930900096589
47,298.15,0.24,-38.84888970290262,-38.82807230848238
48,298.15,0.245,-38.799178805052144,-38.77791206132795
49,298.15,0.25,-38.75047583853264,-38.72878477627867
50,298.15,0.255,-38.70279086294681,-38.68064955365128
51,298.15,0.26,-38.65603437436124,-38.63346787660712
52,298.15,0.265,-38.610221073647736,-38.58720342957365
53,298.15,0.27,-38.56526563757741,-38.54182193363894
54,298.15,0.275,-38.52118674812881,-38.497290997050406
55,298.15,0.28,-38.477902663010354,-38.45357997918424
56,298.15,0.285,-38.435409912997756,-38.41065986655507
57,298.15,0.29,-38.393706600046414,-38.368503159609
58,298.15,0.295,-38.35271544733249,-38.32708376919399
