R32: T = 298.15,K [Calculated,with the Peng-Robinson VT model]
,,
Temperature,Pressure,Fugacity Coef.
(K),(MPa),(R32)
,,
298.15,0.8,0.91322
298.15,0.805,0.91268
298.15,0.81,0.91215
298.15,0.815,0.91161
298.15,0.82,0.91108
298.15,0.825,0.91054
298.15,0.83,0.91001
298.15,0.835,0.90948
298.15,0.84,0.90894
298.15,0.845,0.90841
298.15,0.85,0.90787
298.15,0.855,0.90734
298.15,0.86,0.9068
298.15,0.865,0.90627
298.15,0.87,0.90574
298.15,0.875,0.9052
298.15,0.88,0.90467
298.15,0.885,0.90414
298.15,0.89,0.9036
298.15,0.895,0.90307
298.15,0.9,0.90254
298.15,0.905,0.902
298.15,0.91,0.90147
298.15,0.915,0.90094
298.15,0.92,0.9004
298.15,0.925,0.89987
298.15,0.93,0.89934
298.15,0.935,0.8988
298.15,0.94,0.89827
298.15,0.945,0.89774
298.15,0.95,0.8972
298.15,0.955,0.89667
298.15,0.96,0.89614
298.15,0.965,0.89561
298.15,0.97,0.89507
298.15,0.975,0.89454
298.15,0.98,0.89401
298.15,0.985,0.89348
298.15,0.99,0.89294
298.15,0.995,0.89241
298.15,1,0.89188
298.15,1.005,0.89135
298.15,1.01,0.89082
298.15,1.015,0.89028
298.15,1.02,0.88975
298.15,1.025,0.88922
298.15,1.03,0.88869
298.15,1.035,0.88816
298.15,1.04,0.88763
298.15,1.045,0.88709
298.15,1.05,0.88656
298.15,1.055,0.88603
298.15,1.06,0.8855
298.15,1.065,0.88497
298.15,1.07,0.88444
298.15,1.075,0.88391
298.15,1.08,0.88338
298.15,1.085,0.88284
298.15,1.09,0.88231
298.15,1.095,0.88178
298.15,1.1,0.88125
298.15,1.105,0.88072
298.15,1.11,0.88019
298.15,1.115,0.87966
298.15,1.12,0.87913
298.15,1.125,0.8786
298.15,1.13,0.87807
298.15,1.135,0.87754
298.15,1.14,0.87701
298.15,1.145,0.87648
298.15,1.15,0.87595
298.15,1.155,0.87542
298.15,1.16,0.87489
298.15,1.165,0.87436
298.15,1.17,0.87383
298.15,1.175,0.8733
298.15,1.18,0.87277
298.15,1.185,0.87224
298.15,1.19,0.87171
298.15,1.195,0.87118
298.15,1.2,0.87065
298.15,1.205,0.87012
298.15,1.21,0.86959
298.15,1.215,0.86906
298.15,1.22,0.86853
298.15,1.225,0.868
298.15,1.23,0.86747
298.15,1.235,0.86694
298.15,1.24,0.86641
298.15,1.245,0.86588
298.15,1.25,0.86535
298.15,1.255,0.86482
298.15,1.26,0.86429
298.15,1.265,0.86376
298.15,1.27,0.86323
298.15,1.275,0.8627
298.15,1.28,0.86217
298.15,1.285,0.86165
298.15,1.29,0.86112
298.15,1.295,0.86059
298.15,1.3,0.86006
298.15,1.305,0.85953
298.15,1.31,0.859
298.15,1.315,0.85847
298.15,1.32,0.85794
298.15,1.325,0.85741
298.15,1.33,0.85689
298.15,1.335,0.85636
298.15,1.34,0.85583
298.15,1.345,0.8553
298.15,1.35,0.85477
298.15,1.355,0.85424
298.15,1.36,0.85371
298.15,1.365,0.85319
298.15,1.37,0.85266
298.15,1.375,0.85213
298.15,1.38,0.8516
298.15,1.385,0.85107
298.15,1.39,0.85054
298.15,1.395,0.85002
298.15,1.4,0.84949
298.15,1.405,0.84896
298.15,1.41,0.84843
298.15,1.415,0.8479
298.15,1.42,0.84737
298.15,1.425,0.84685
298.15,1.43,0.84632
298.15,1.435,0.84579
298.15,1.44,0.84526
298.15,1.445,0.84473
298.15,1.45,0.84421
298.15,1.455,0.84368
298.15,1.46,0.84315
298.15,1.465,0.84262
298.15,1.47,0.84209
298.15,1.475,0.84157
298.15,1.48,0.84104
298.15,1.485,0.84051
298.15,1.49,0.83998
298.15,1.495,0.83945
298.15,1.5,0.83893
