3: R32: T = 298.15 K [Calculated with the Peng-Robinson model (w/o VT)]

Temperature, Pressure, Fugacity Coef.
(K), (MPa), (R32)
, , 
298.15, 0.0050000, 0.99946
298.15, 0.010000, 0.99892
298.15, 0.015000, 0.99838
298.15, 0.020000, 0.99784
298.15, 0.025000, 0.99731
298.15, 0.030000, 0.99677
298.15, 0.035000, 0.99623
298.15, 0.040000, 0.99569
298.15, 0.045000, 0.99515
298.15, 0.050000, 0.99461
298.15, 0.055000, 0.99408
298.15, 0.060000, 0.99354
298.15, 0.065000, 0.99300
298.15, 0.070000, 0.99246
298.15, 0.075000, 0.99193
298.15, 0.080000, 0.99139
298.15, 0.085000, 0.99085
298.15, 0.090000, 0.99031
298.15, 0.095000, 0.98978
298.15, 0.10000, 0.98924
298.15, 0.10500, 0.98870
298.15, 0.11000, 0.98817
298.15, 0.11500, 0.98763
298.15, 0.12000, 0.98709
298.15, 0.12500, 0.98656
298.15, 0.13000, 0.98602
298.15, 0.13500, 0.98548
298.15, 0.14000, 0.98495
298.15, 0.14500, 0.98441
298.15, 0.15000, 0.98387
298.15, 0.15500, 0.98334
298.15, 0.16000, 0.98280
298.15, 0.16500, 0.98227
298.15, 0.17000, 0.98173
298.15, 0.17500, 0.98120
298.15, 0.18000, 0.98066
298.15, 0.18500, 0.98012
298.15, 0.19000, 0.97959
298.15, 0.19500, 0.97905
298.15, 0.20000, 0.97852
298.15, 0.20500, 0.97798
298.15, 0.21000, 0.97745
298.15, 0.21500, 0.97691
298.15, 0.22000, 0.97638
298.15, 0.22500, 0.97584
298.15, 0.23000, 0.97531
298.15, 0.23500, 0.97478
298.15, 0.24000, 0.97424
298.15, 0.24500, 0.97371
298.15, 0.25000, 0.97317
298.15, 0.25500, 0.97264
298.15, 0.26000, 0.97211
298.15, 0.26500, 0.97157
298.15, 0.27000, 0.97104
298.15, 0.27500, 0.97050
298.15, 0.28000, 0.96997
298.15, 0.28500, 0.96944
298.15, 0.29000, 0.96890
298.15, 0.29500, 0.96837
298.15, 0.30000, 0.96784
298.15, 0.30500, 0.96730
298.15, 0.31000, 0.96677
298.15, 0.31500, 0.96624
298.15, 0.32000, 0.96571
298.15, 0.32500, 0.96517
298.15, 0.33000, 0.96464
298.15, 0.33500, 0.96411
298.15, 0.34000, 0.96357
298.15, 0.34500, 0.96304
298.15, 0.35000, 0.96251
298.15, 0.35500, 0.96198
298.15, 0.36000, 0.96145
298.15, 0.36500, 0.96091
298.15, 0.37000, 0.96038
298.15, 0.37500, 0.95985
298.15, 0.38000, 0.95932
298.15, 0.38500, 0.95879
298.15, 0.39000, 0.95826
298.15, 0.39500, 0.95772
298.15, 0.40000, 0.95719
298.15, 0.40500, 0.95666
298.15, 0.41000, 0.95613
298.15, 0.41500, 0.95560
298.15, 0.42000, 0.95507
298.15, 0.42500, 0.95454
298.15, 0.43000, 0.95401
298.15, 0.43500, 0.95347
298.15, 0.44000, 0.95294
298.15, 0.44500, 0.95241
298.15, 0.45000, 0.95188
298.15, 0.45500, 0.95135
298.15, 0.46000, 0.95082
298.15, 0.46500, 0.95029
298.15, 0.47000, 0.94976
298.15, 0.47500, 0.94923
298.15, 0.48000, 0.94870
298.15, 0.48500, 0.94817
298.15, 0.49000, 0.94764
298.15, 0.49500, 0.94711
298.15, 0.50000, 0.94658
298.15, 0.50500, 0.94605
298.15, 0.51000, 0.94552
298.15, 0.51500, 0.94499
298.15, 0.52000, 0.94446
298.15, 0.52500, 0.94394
298.15, 0.53000, 0.94341
298.15, 0.53500, 0.94288
298.15, 0.54000, 0.94235
298.15, 0.54500, 0.94182
298.15, 0.55000, 0.94129
298.15, 0.55500, 0.94076
298.15, 0.56000, 0.94023
298.15, 0.56500, 0.93970
298.15, 0.57000, 0.93918
298.15, 0.57500, 0.93865
298.15, 0.58000, 0.93812
298.15, 0.58500, 0.93759
298.15, 0.59000, 0.93706
298.15, 0.59500, 0.93653
298.15, 0.60000, 0.93601
298.15, 0.60500, 0.93548
298.15, 0.61000, 0.93495
298.15, 0.61500, 0.93442
298.15, 0.62000, 0.93389
298.15, 0.62500, 0.93337
298.15, 0.63000, 0.93284
298.15, 0.63500, 0.93231
298.15, 0.64000, 0.93178
298.15, 0.64500, 0.93126
298.15, 0.65000, 0.93073
298.15, 0.65500, 0.93020
298.15, 0.66000, 0.92968
298.15, 0.66500, 0.92915
298.15, 0.67000, 0.92862
298.15, 0.67500, 0.92809
298.15, 0.68000, 0.92757
298.15, 0.68500, 0.92704
298.15, 0.69000, 0.92651
298.15, 0.69500, 0.92599
298.15, 0.70000, 0.92546
298.15, 0.70500, 0.92493
298.15, 0.71000, 0.92441
298.15, 0.71500, 0.92388
298.15, 0.72000, 0.92336
298.15, 0.72500, 0.92283
298.15, 0.73000, 0.92230
298.15, 0.73500, 0.92178
298.15, 0.74000, 0.92125
298.15, 0.74500, 0.92072
298.15, 0.75000, 0.92020
298.15, 0.75500, 0.91967
298.15, 0.76000, 0.91915
298.15, 0.76500, 0.91862
298.15, 0.77000, 0.91810
298.15, 0.77500, 0.91757
298.15, 0.78000, 0.91705
298.15, 0.78500, 0.91652
298.15, 0.79000, 0.91599
298.15, 0.79500, 0.91547
298.15, 0.80000, 0.91494
298.15, 0.80500, 0.91442
298.15, 0.81000, 0.91389
298.15, 0.81500, 0.91337
298.15, 0.82000, 0.91284
298.15, 0.82500, 0.91232
298.15, 0.83000, 0.91179
298.15, 0.83500, 0.91127
298.15, 0.84000, 0.91074
298.15, 0.84500, 0.91022
298.15, 0.85000, 0.90970
298.15, 0.85500, 0.90917
298.15, 0.86000, 0.90865
298.15, 0.86500, 0.90812
298.15, 0.87000, 0.90760
298.15, 0.87500, 0.90707
298.15, 0.88000, 0.90655
298.15, 0.88500, 0.90603
298.15, 0.89000, 0.90550
298.15, 0.89500, 0.90498
298.15, 0.90000, 0.90445
298.15, 0.90500, 0.90393
298.15, 0.91000, 0.90341
298.15, 0.91500, 0.90288
298.15, 0.92000, 0.90236
298.15, 0.92500, 0.90184
298.15, 0.93000, 0.90131
298.15, 0.93500, 0.90079
298.15, 0.94000, 0.90026
298.15, 0.94500, 0.89974
298.15, 0.95000, 0.89922
298.15, 0.95500, 0.89869
298.15, 0.96000, 0.89817
298.15, 0.96500, 0.89765
298.15, 0.97000, 0.89713
298.15, 0.97500, 0.89660
298.15, 0.98000, 0.89608
298.15, 0.98500, 0.89556
298.15, 0.99000, 0.89503
298.15, 0.99500, 0.89451
298.15, 1.0000, 0.89399
298.15, 1.0050, 0.89346
298.15, 1.0100, 0.89294
298.15, 1.0150, 0.89242
298.15, 1.0200, 0.89190
298.15, 1.0250, 0.89137
298.15, 1.0300, 0.89085
298.15, 1.0350, 0.89033
298.15, 1.0400, 0.88981
298.15, 1.0450, 0.88928
298.15, 1.0500, 0.88876
298.15, 1.0550, 0.88824
298.15, 1.0600, 0.88772
298.15, 1.0650, 0.88720
298.15, 1.0700, 0.88667
298.15, 1.0750, 0.88615
298.15, 1.0800, 0.88563
298.15, 1.0850, 0.88511
298.15, 1.0900, 0.88459
298.15, 1.0950, 0.88406
298.15, 1.1000, 0.88354
298.15, 1.1050, 0.88302
298.15, 1.1100, 0.88250
298.15, 1.1150, 0.88198
298.15, 1.1200, 0.88146
298.15, 1.1250, 0.88093
298.15, 1.1300, 0.88041
298.15, 1.1350, 0.87989
298.15, 1.1400, 0.87937
298.15, 1.1450, 0.87885
298.15, 1.1500, 0.87833
298.15, 1.1550, 0.87781
298.15, 1.1600, 0.87728
298.15, 1.1650, 0.87676
298.15, 1.1700, 0.87624
298.15, 1.1750, 0.87572
298.15, 1.1800, 0.87520
298.15, 1.1850, 0.87468
298.15, 1.1900, 0.87416
298.15, 1.1950, 0.87364
298.15, 1.2000, 0.87311
298.15, 1.2050, 0.87259
298.15, 1.2100, 0.87207
298.15, 1.2150, 0.87155
298.15, 1.2200, 0.87103
298.15, 1.2250, 0.87051
298.15, 1.2300, 0.86999
298.15, 1.2350, 0.86947
298.15, 1.2400, 0.86895
298.15, 1.2450, 0.86843
298.15, 1.2500, 0.86791
298.15, 1.2550, 0.86739
298.15, 1.2600, 0.86687
298.15, 1.2650, 0.86634
298.15, 1.2700, 0.86582
298.15, 1.2750, 0.86530
298.15, 1.2800, 0.86478
298.15, 1.2850, 0.86426
298.15, 1.2900, 0.86374
298.15, 1.2950, 0.86322
298.15, 1.3000, 0.86270
298.15, 1.3050, 0.86218
298.15, 1.3100, 0.86166
298.15, 1.3150, 0.86114
298.15, 1.3200, 0.86062
298.15, 1.3250, 0.86010
298.15, 1.3300, 0.85958
298.15, 1.3350, 0.85906
298.15, 1.3400, 0.85854
298.15, 1.3450, 0.85802
298.15, 1.3500, 0.85750
298.15, 1.3550, 0.85698
298.15, 1.3600, 0.85646
298.15, 1.3650, 0.85594
298.15, 1.3700, 0.85542
298.15, 1.3750, 0.85490
298.15, 1.3800, 0.85438
298.15, 1.3850, 0.85386
298.15, 1.3900, 0.85334
298.15, 1.3950, 0.85282
298.15, 1.4000, 0.85230
298.15, 1.4050, 0.85178
298.15, 1.4100, 0.85126
298.15, 1.4150, 0.85074
298.15, 1.4200, 0.85022
298.15, 1.4250, 0.84970
298.15, 1.4300, 0.84918
298.15, 1.4350, 0.84866
298.15, 1.4400, 0.84814
298.15, 1.4450, 0.84762
298.15, 1.4500, 0.84710
298.15, 1.4550, 0.84658
298.15, 1.4600, 0.84606
298.15, 1.4650, 0.84554
298.15, 1.4700, 0.84502
298.15, 1.4750, 0.84450
298.15, 1.4800, 0.84398
298.15, 1.4850, 0.84346
298.15, 1.4900, 0.84294
298.15, 1.4950, 0.84242
298.15, 1.5000, 0.84190


